CustomerKey,EnglishProductSubcategoryName,FirstName,LastName,MiddleName,Number of Records,ProductSubcategoryAlternateKey
21768,Road Bikes,Cole,Watson,A,1,2
28389,Mountain Bikes,Rachael,Martinez,M,1,1
25863,Mountain Bikes,Sydney,Wright,S,1,1
14501,Road Bikes,Ruben,Prasad,,1,2
11003,Mountain Bikes,Christy,Zhu,,1,1
27645,Road Bikes,Colin,Anand,G,1,2
16624,Road Bikes,Albert,Alvarez,R,1,2
11005,Mountain Bikes,Julio,Ruiz,,1,1
11011,Mountain Bikes,Curtis,Lu,,1,1
27621,Road Bikes,Edward,Brown,,1,2
27616,Road Bikes,Emma,Brown,W,1,2
20042,Road Bikes,Brad,Deng,D,1,2
16351,Road Bikes,Martha,Xu,C,1,2
16517,Road Bikes,Katrina,Raji,M,1,2
27606,Road Bikes,Courtney,Edwards,A,1,2
13513,Road Bikes,Abigail,Henderson,R,1,2
27601,Road Bikes,Sydney,Rogers,C,1,2
13591,Road Bikes,Latasha,Alonso,A,1,2
16483,Road Bikes,Warren,Jai,S,1,2
16529,Road Bikes,Jonathon,Gutierrez,R,1,2
25249,Road Bikes,Alexandra,Watson,H,1,2
27668,Road Bikes,Kevin,Gonzalez,,1,2
27612,Road Bikes,Lucas,Hill,,1,2
13264,Road Bikes,Melanie,Sanchez,,1,2
13590,Road Bikes,Louis,Xie,B,1,2
13581,Road Bikes,Albert,Blanco,W,1,2
14520,Road Bikes,Bonnie,Xu,C,1,2
16520,Road Bikes,Misty,Raji,,1,2
13258,Road Bikes,Anne,Dominguez,,1,2
14560,Road Bikes,Kelvin,Huang,,1,2
16607,Road Bikes,Logan,Gonzales,,1,2
27666,Road Bikes,Alyssa,Garcia,L,1,2
11238,Mountain Bikes,Mayra,Prasad,,1,1
25861,Mountain Bikes,Garrett,Cooper,C,1,1
16629,Road Bikes,Rosa,Zheng,G,1,2
11025,Mountain Bikes,Alejandro,Beck,,1,1
27577,Road Bikes,Patrick,Cook,K,1,2
27604,Road Bikes,Richard,Brooks,,1,2
16522,Road Bikes,Casey,Pal,,1,2
11002,Mountain Bikes,Ruben,Torres,,1,1
13261,Road Bikes,Lindsey,Andersen,S,1,2
11606,Road Bikes,Melody,Ramos,,1,2
13563,Road Bikes,Phillip,Sai,M,1,2
16527,Road Bikes,Cory,Arun,O,1,2
27671,Road Bikes,Jeremiah,Martinez,D,1,2
13576,Road Bikes,Tamara,Lal,,1,2
11007,Mountain Bikes,Marco,Mehta,,1,1
16631,Road Bikes,Haley,Ward,J,1,2
16514,Road Bikes,Manuel,Fernandez,A,1,2
16616,Road Bikes,Kelvin,Liang,L,1,2
27623,Road Bikes,Christian,Jackson,L,1,2
27625,Road Bikes,Alexandria,Hughes,W,1,2
27636,Road Bikes,Paige,Murphy,,1,2
11591,Road Bikes,Stacey,Lu,W,1,2
11592,Road Bikes,Darrell,Raji,T,1,2
13265,Road Bikes,Luke,Adams,C,1,2
16482,Road Bikes,Tabitha,Arthur,E,1,2
27617,Road Bikes,Morgan,Phillips,,1,2
